Starter,Tm,Year,PlID,TmID
JoeFlacco,DEN,2019,JoeFlacco2019,DEN2019
MatthewStafford,DET,2019,MatthewStafford2019,DET2019
AaronRodgers,GNB,2019,AaronRodgers2019,GNB2019
DeshaunWatson,HOU,2019,DeshaunWatson2019,HOU2019
JacobyBrissett,IND,2019,JacobyBrissett2019,IND2019
NickFoles,JAX,2019,NickFoles2019,JAX2019
PatrickMahomes,KAN,2019,PatrickMahomes2019,KAN2019
PhilipRivers,LAC,2019,PhilipRivers2019,LAC2019
JaredGoff,LAR,2019,JaredGoff2019,LAR2019
RyanFitzpatrick,MIA,2019,RyanFitzpatrick2019,MIA2019
KirkCousins,MIN,2019,KirkCousins2019,MIN2019
DrewBrees,NOR,2019,DrewBrees2019,NOR2019
TomBrady,NWE,2019,TomBrady2019,NWE2019
EliManning,NYG,2019,EliManning2019,NYG2019
SamDarnold,NYJ,2019,SamDarnold2019,NYJ2019
DerekCarr,OAK,2019,DerekCarr2019,OAK2019
CarsonWentz,PHI,2019,CarsonWentz2019,PHI2019
BenRoethlisberger,PIT,2019,BenRoethlisberger2019,PIT2019
RussellWilson,SEA,2019,RussellWilson2019,SEA2019
JimmyGaroppolo,SFO,2019,JimmyGaroppolo2019,SFO2019
JameisWinston,TAM,2019,JameisWinston2019,TAM2019
RyanTannehill,TEN,2019,RyanTannehill2019,TEN2019
CaseKeenum,WAS,2019,CaseKeenum2019,WAS2019
KylerMurray,ARI,2020,KylerMurray2020,ARI2020
MattRyan,ATL,2020,MattRyan2020,ATL2020
LamarJackson,BAL,2020,LamarJackson2020,BAL2020
JoshAllen,BUF,2020,JoshAllen2020,BUF2020
TeddyBridgewater,CAR,2020,TeddyBridgewater2020,CAR2020
MitchellTrubisky,CHI,2020,MitchellTrubisky2020,CHI2020
JoeBurrow,CIN,2020,JoeBurrow2020,CIN2020
BakerMayfield,CLE,2020,BakerMayfield2020,CLE2020
AndyDalton,DAL,2020,AndyDalton2020,DAL2020
DrewLock,DEN,2020,DrewLock2020,DEN2020
MatthewStafford,DET,2020,MatthewStafford2020,DET2020
AaronRodgers,GNB,2020,AaronRodgers2020,GNB2020
DeshaunWatson,HOU,2020,DeshaunWatson2020,HOU2020
PhilipRivers,IND,2020,PhilipRivers2020,IND2020
GardnerMinshewII,JAX,2020,GardnerMinshewII2020,JAX2020
PatrickMahomes,KAN,2020,PatrickMahomes2020,KAN2020
TyrodTaylor,LAC,2020,TyrodTaylor2020,LAC2020
JaredGoff,LAR,2020,JaredGoff2020,LAR2020
DerekCarr,LVR,2020,DerekCarr2020,LVR2020
RyanFitzpatrick,MIA,2020,RyanFitzpatrick2020,MIA2020
KirkCousins,MIN,2020,KirkCousins2020,MIN2020
DrewBrees,NOR,2020,DrewBrees2020,NOR2020
CamNewton,NWE,2020,CamNewton2020,NWE2020
DanielJones,NYG,2020,DanielJones2020,NYG2020
SamDarnold,NYJ,2020,SamDarnold2020,NYJ2020
CarsonWentz,PHI,2020,CarsonWentz2020,PHI2020
BenRoethlisberger,PIT,2020,BenRoethlisberger2020,PIT2020
RussellWilson,SEA,2020,RussellWilson2020,SEA2020
JimmyGaroppolo,SFO,2020,JimmyGaroppolo2020,SFO2020
TomBrady,TAM,2020,TomBrady2020,TAM2020
RyanTannehill,TEN,2020,RyanTannehill2020,TEN2020
AlexSmith,WAS,2020,AlexSmith2020,WAS2020
KylerMurray,ARI,2021,KylerMurray2021,ARI2021
MattRyan,ATL,2021,MattRyan2021,ATL2021
LamarJackson,BAL,2021,LamarJackson2021,BAL2021
JoshAllen,BUF,2021,JoshAllen2021,BUF2021
SamDarnold,CAR,2021,SamDarnold2021,CAR2021
AndyDalton,CHI,2021,AndyDalton2021,CHI2021
JoeBurrow,CIN,2021,JoeBurrow2021,CIN2021
BakerMayfield,CLE,2021,BakerMayfield2021,CLE2021
DakPrescott,DAL,2021,DakPrescott2021,DAL2021
TeddyBridgewater,DEN,2021,TeddyBridgewater2021,DEN2021
JaredGoff,DET,2021,JaredGoff2021,DET2021
AaronRodgers,GNB,2021,AaronRodgers2021,GNB2021
TyrodTaylor,HOU,2021,TyrodTaylor2021,HOU2021
CarsonWentz,IND,2021,CarsonWentz2021,IND2021
TrevorLawrence,JAX,2021,TrevorLawrence2021,JAX2021
PatrickMahomes,KAN,2021,PatrickMahomes2021,KAN2021
JustinHerbert,LAC,2021,JustinHerbert2021,LAC2021
MatthewStafford,LAR,2021,MatthewStafford2021,LAR2021
DerekCarr,LVR,2021,DerekCarr2021,LVR2021
TuaTagovailoa,MIA,2021,TuaTagovailoa2021,MIA2021
KirkCousins,MIN,2021,KirkCousins2021,MIN2021
JameisWinston,NOR,2021,JameisWinston2021,NOR2021
MacJones,NWE,2021,MacJones2021,NWE2021
DanielJones,NYG,2021,DanielJones2021,NYG2021
ZachWilson,NYJ,2021,ZachWilson2021,NYJ2021
JalenHurts,PHI,2021,JalenHurts2021,PHI2021
