Player,Tm,Pos,Age,G,GS,PlID,TmID,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushYds/Att,RushTD/G,Tgt/G,Rec/G,RecYds/G,Yds/Rec,RecTD/G,Fmb/G,FL/G,TotTD/G,2PM/G,2PP/G,FPts,PosRk,OvRank,Yr,PPR/G,Starter,Next_Yr_PPG,Next_Yr_Starter
AaronRodgers,GNB,QB,36,16,16,AaronRodgers2019,GNB2019,22.062,35.562,250.125,1.625,0.25,2.875,11.438,3.98,0.062,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.062,0.062,0.125,278.4,9,16,2019,17.4,1,23.956,1.0
AaronRodgers,GNB,QB,35,16,16,AaronRodgers2018,GNB2018,23.25,37.312,277.625,1.562,0.125,2.688,16.812,6.26,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.188,0.125,0.062,0.125,312.6,6,17,2018,19.538,1,17.4,1.0
AaronRodgers,GNB,QB,34,7,7,AaronRodgers2017,GNB2017,22.0,34.0,239.286,2.286,0.857,3.429,18.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,129.6,29,132,2017,18.514,1,19.538,1.0
AaronRodgers,GNB,QB,33,16,16,AaronRodgers2016,GNB2016,25.062,38.125,276.75,2.5,0.438,4.188,23.062,5.51,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.062,0.062,380.0,1,2,2016,23.75,1,18.514,1.0
AaronRodgers,GNB,QB,32,16,16,AaronRodgers2015,GNB2015,21.688,35.75,238.812,1.938,0.5,3.625,21.5,5.93,0.062,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.062,0.0,0.25,301.2,7,14,2015,18.825,1,23.75,1.0
AaronRodgers,GNB,QB,31,16,16,AaronRodgers2014,GNB2014,21.312,32.5,273.812,2.375,0.312,2.688,16.812,6.26,0.125,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.125,0.0,0.062,354.1,1,3,2014,22.131,1,18.825,1.0
AaronRodgers,GNB,QB,30,9,9,AaronRodgers2013,GNB2013,21.444,32.222,281.778,1.889,0.667,3.333,13.333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,169.4,22,89,2013,18.822,1,22.131,1.0
AaronRodgers,GNB,QB,29,16,16,AaronRodgers2012,GNB2012,23.188,34.5,268.438,2.438,0.5,3.375,16.188,4.8,0.125,0.062,0.062,-0.062,-1.0,0.0,0.312,0.25,0.125,0.0,0.062,344.6,2,3,2012,21.538,1,18.822,1.0
AceSanders,JAX,WR,23,12,0,AceSanders2014,JAX2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.5,4.583,9.17,0.0,0.167,0.083,0.0,0.0,0.0,9.5,170,433,2014,0.792,0,,
AceSanders,JAX,WR,22,15,4,AceSanders2013,JAX2013,0.067,0.067,1.4,0.067,0.0,0.133,0.267,2.0,0.0,5.8,3.4,32.267,9.49,0.067,0.0,0.0,0.067,0.0,0.0,110.6,72,157,2013,7.373,0,0.792,0.0
AdamHumphries,WAS,WR,28,17,11,AdamHumphries2021,WAS2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.647,2.412,22.529,9.34,0.0,0.0,0.0,0.0,0.0,0.0,79.3,111,219,2021,4.665,0,,
AdamHumphries,TEN,WR,27,7,1,AdamHumphries2020,TEN2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.286,32.571,9.91,0.286,0.0,0.0,0.286,0.0,0.0,57.8,111,264,2020,8.257,0,4.665,0.0
AdamHumphries,TEN,WR,26,12,3,AdamHumphries2019,TEN2019,0.0,0.0,0.0,0.0,0.0,0.083,0.083,1.0,0.0,3.917,3.083,31.167,10.11,0.167,0.083,0.0,0.167,0.0,0.0,86.5,85,193,2019,7.208,0,8.257,0.0
AdamHumphries,TAM,WR,25,16,10,AdamHumphries2018,TAM2018,0.0,0.0,0.0,0.0,0.0,0.125,0.688,5.5,0.0,6.562,4.75,51.0,10.74,0.312,0.125,0.0,0.312,0.0,0.0,188.7,32,71,2018,11.794,0,7.208,0.0
AdamHumphries,TAM,WR,24,16,3,AdamHumphries2017,TAM2017,0.0,0.0,0.0,0.0,0.0,0.062,0.375,6.0,0.0,5.188,3.812,39.438,10.34,0.062,0.062,0.062,0.062,0.0,0.0,128.7,60,133,2017,8.044,0,11.794,0.0
AdamHumphries,TAM,WR,23,15,4,AdamHumphries2016,TAM2016,0.0,0.0,0.0,0.0,0.0,0.333,1.2,3.6,0.0,5.533,3.667,41.467,11.31,0.133,0.2,0.0,0.133,0.067,0.0,133.0,64,140,2016,8.867,0,8.044,0.0
AdamHumphries,TAM,WR,22,13,0,AdamHumphries2015,TAM2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.077,2.077,20.0,9.63,0.077,0.0,0.0,0.077,0.0,0.0,59.0,104,250,2015,4.538,0,8.867,0.0
AdamPrentice,NOR,RB,24,7,3,AdamPrentice2021,NOR2021,0.0,0.0,0.0,0.0,0.0,0.429,0.714,1.67,0.0,0.429,0.429,2.286,5.33,0.0,0.0,0.0,0.0,0.0,0.0,5.1,145,504,2021,0.729,0,,
AdamShaheen,MIA,TE,27,12,7,AdamShaheen2021,MIA2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,1.0,9.167,9.17,0.0,0.0,0.0,0.0,0.0,0.0,23.0,73,373,2021,1.917,0,,
AdamShaheen,MIA,TE,26,16,5,AdamShaheen2020,MIA2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.75,9.375,12.5,0.188,0.0,0.0,0.188,0.0,0.0,45.0,46,295,2020,2.812,0,1.917,0.0
AdamShaheen,CHI,RB,25,8,2,AdamShaheen2019,CHI2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.125,9.25,8.22,0.0,0.125,0.125,0.0,0.125,0.0,16.4,114,383,2019,2.05,0,2.812,0.0
AdamShaheen,CHI,RB,24,6,4,AdamShaheen2018,CHI2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.833,8.0,9.6,0.167,0.0,0.0,0.167,0.167,0.0,17.8,100,378,2018,2.967,0,2.05,0.0
AdamShaheen,CHI,RB,23,13,7,AdamShaheen2017,CHI2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077,0.923,9.769,10.58,0.231,0.0,0.0,0.231,0.0,0.0,42.7,85,285,2017,3.285,0,2.967,0.0
AdamThielen,MIN,WR,31,13,13,AdamThielen2021,MIN2021,0.0,0.0,0.0,0.0,0.0,0.077,0.154,2.0,0.0,7.308,5.154,55.846,10.84,0.769,0.077,0.0,0.769,0.0,0.0,199.8,27,70,2021,15.369,0,,
AdamThielen,MIN,WR,30,15,15,AdamThielen2020,MIN2020,0.0,0.0,0.0,0.0,0.0,0.2,1.0,5.0,0.0,7.2,4.933,61.667,12.5,0.933,0.0,0.0,0.933,0.067,0.0,254.0,7,33,2020,16.933,0,15.369,0.0
AdamThielen,MIN,WR,29,10,10,AdamThielen2019,MIN2019,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.5,0.1,4.8,3.0,41.8,13.93,0.6,0.0,0.0,0.7,0.0,0.0,114.4,56,149,2019,11.44,0,16.933,0.0
AdamThielen,MIN,WR,28,16,16,AdamThielen2018,MIN2018,0.0,0.0,0.0,0.0,0.0,0.312,1.875,6.0,0.0,9.562,7.062,85.812,12.15,0.562,0.062,0.062,0.562,0.062,0.0,307.3,7,19,2018,19.206,0,11.44,0.0
AdamThielen,MIN,WR,27,16,16,AdamThielen2017,MIN2017,0.0,0.0,0.0,0.0,0.0,0.062,0.688,11.0,0.0,8.875,5.688,79.75,14.02,0.25,0.188,0.125,0.25,0.0,0.0,239.7,11,29,2017,14.981,0,19.206,0.0
AdamThielen,MIN,WR,26,16,10,AdamThielen2016,MIN2016,0.0,0.0,0.0,0.0,0.0,0.125,0.938,7.5,0.0,5.75,4.312,60.438,14.01,0.312,0.125,0.062,0.312,0.0,0.0,195.2,30,74,2016,12.2,0,14.981,0.0
AdamThielen,MIN,WR,25,16,2,AdamThielen2015,MIN2015,0.0,0.0,0.0,0.0,0.0,0.25,5.562,22.25,0.0,1.125,0.75,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,123,310,2015,2.206,0,12.2,0.0
AdamThielen,MIN,WR,24,16,2,AdamThielen2014,MIN2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.5,8.562,17.13,0.062,0.0,0.0,0.062,0.0,0.0,27.7,124,325,2014,1.731,0,2.206,0.0
AdamTrautman,NOR,TE,24,13,10,AdamTrautman2021,NOR2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308,2.077,20.231,9.74,0.154,0.077,0.077,0.154,0.0,0.0,63.3,42,256,2021,4.869,0,,
AdamTrautman,NOR,TE,23,15,6,AdamTrautman2020,NOR2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067,1.0,11.4,11.4,0.067,0.0,0.0,0.067,0.0,0.0,38.1,59,315,2020,2.54,0,4.869,0.0
AdrianPeterson,2TM,RB,36,4,3,AdrianPeterson2021,2TM2021,0.0,0.0,0.0,0.0,0.0,9.5,24.5,2.58,0.5,1.0,1.0,2.0,2.0,0.0,0.25,0.0,0.5,0.0,0.0,26.6,97,361,2021,6.65,0,,
AdrianPeterson,DET,RB,35,16,10,AdrianPeterson2020,DET2020,0.0,0.0,0.0,0.0,0.0,9.75,37.75,3.87,0.438,1.125,0.75,6.312,8.42,0.0,0.0,0.0,0.438,0.0,0.0,124.5,33,153,2020,7.781,0,6.65,0.0
AdrianPeterson,WAS,RB,34,15,15,AdrianPeterson2019,WAS2019,0.0,0.0,0.0,0.0,0.0,14.067,59.867,4.26,0.333,1.533,1.133,9.467,8.35,0.0,0.2,0.133,0.333,0.0,0.0,147.0,28,116,2019,9.8,0,7.781,0.0
AdrianPeterson,WAS,RB,33,16,16,AdrianPeterson2018,WAS2018,0.0,0.0,0.0,0.0,0.0,15.688,65.125,4.15,0.438,1.625,1.25,13.0,10.4,0.062,0.188,0.125,0.5,0.0,0.0,189.0,16,70,2018,11.812,0,9.8,0.0
AdrianPeterson,2TM,RB,32,10,7,AdrianPeterson2017,2TM2017,0.0,0.0,0.0,0.0,0.0,15.6,52.9,3.39,0.2,1.9,1.1,7.0,6.36,0.0,0.3,0.2,0.2,0.0,0.0,78.9,54,203,2017,7.89,0,11.812,0.0
AdrianPeterson,MIN,RB,31,3,3,AdrianPeterson2016,MIN2016,0.0,0.0,0.0,0.0,0.0,12.333,24.0,1.95,0.0,2.0,1.0,2.667,2.67,0.0,0.333,0.333,0.0,0.0,0.0,9.0,126,429,2016,3.0,0,7.89,0.0
AdrianPeterson,MIN,RB,30,16,16,AdrianPeterson2015,MIN2015,0.0,0.0,0.0,0.0,0.0,20.438,92.812,4.54,0.688,2.25,1.875,13.875,7.4,0.0,0.438,0.188,0.688,0.0,0.0,260.7,2,30,2015,16.294,0,3.0,0.0
AdrianPeterson,MIN,RB,29,1,1,AdrianPeterson2014,MIN2014,0.0,0.0,0.0,0.0,0.0,21.0,75.0,3.57,0.0,3.0,2.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,128,419,2014,11.3,0,16.294,0.0
AdrianPeterson,MIN,RB,28,14,14,AdrianPeterson2013,MIN2013,0.0,0.0,0.0,0.0,0.0,19.929,90.429,4.54,0.714,2.857,2.071,12.214,5.9,0.071,0.357,0.214,0.786,0.0,0.0,232.7,8,45,2013,16.621,0,11.3,0.0
AdrianPeterson,MIN,RB,27,16,16,AdrianPeterson2012,MIN2012,0.0,0.0,0.0,0.0,0.0,21.75,131.062,6.03,0.75,3.188,2.5,13.562,5.43,0.062,0.25,0.125,0.812,0.062,0.0,347.4,1,1,2012,21.712,0,16.621,0.0
AdrienRobinson,NYG,TE,26,16,1,AdrienRobinson2014,NYG2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.312,3.125,10.0,0.062,0.0,0.0,0.062,0.0,0.0,16.0,67,388,2014,1.0,0,,
